Title,Description,Module_Name,Inline Description,Document,Link
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 74 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DBQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 129 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/dsq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 125 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DSQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 186 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DSQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 170 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DSQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DSQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 16 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DLQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 21 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DLQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/DLQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 23 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ecq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 18 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ECQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 54 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ECQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ECQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 44.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ECQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 90.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ECQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 55.2 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FNQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 142 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/FNQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 45 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/hiq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 39 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HIQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 57 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HIQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 48 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 39.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 114 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HIQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 15 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HEQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 33 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HEQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 60 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HEQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 15.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HEQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 97.0 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HEQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 35 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/huq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 31 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HUQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 70 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HUQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 57 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HUQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 29.3 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HUQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 89.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/HUQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 25 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/imq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IMQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 59 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IMQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 102 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 21.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IMQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 111 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IMQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 51.7 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/IFQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 20 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/kiq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 15 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/KIQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 53 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/KIQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 39 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/KIQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 15.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/KIQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 105 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/KIQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 86 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/mcq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 106 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/MCQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 124 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/MCQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 137 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/MCQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 108 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/MCQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 130 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/MCQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 81 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ocq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 66 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 84 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 33.8 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 127 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OCQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 36 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ohq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 48 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OHQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 42 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OHQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 72 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OHQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 39.1 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OHQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 82.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OHQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 40 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OSQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 51 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OSQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 43.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/OSQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 62 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/paq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 57 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PAQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 57 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PAQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 89 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PAQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 40.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PAQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 124 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PAQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 63 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/pfq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 56 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PFQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 61 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PFQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 128 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/PFQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 106 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/RXQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 36 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/rdq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 192 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/RIQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 520 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2011-2012_Handcards_SP.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 846 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2013-2014_Handcards_SP.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 918 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2015-2016_Handcards_SP.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 1.28 MB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/2020_Handcards_SP.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 18 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/slq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 10 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SLQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 16 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SLQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 63 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SLQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 19.6 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SLQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 79.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SLQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 41 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/smq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 43 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 54 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 103 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 32.4 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 110 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/SMQ-L-508.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 79.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/BAQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 24 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/tbq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2011-2012,,[PDF - 55 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/whq.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2013-2014,,[PDF - 39 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/WHQ_H.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2015-2016,,[PDF - 61 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/WHQ_I.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2017-2018,,[PDF - 97 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/WHQ_J.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2019-2020,,[PDF - 37.5 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/WHQ_K.pdf
Sample Person Questionnaire,Individual level information on participants is collected here. The sections are labeled to reflect content. Please note that the Medical Conditions section covers many subject areas.,2021-2023,,[PDF - 85.9 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/WHQ-L-508.pdf
MEC ACASI and CAPI Questionnaires,Audio computer-assisted self-interview (ACASI) and computer-assisted personal interview (CAPI) questionnaires are administered in the MEC. During the visit to the examination center additional questions are administered that cover more sensitive areas such as reproductive health and illegal drug use. The sections are labeled to reflect content.,2011-2012,,[PDF - 25 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/acq.pdf
MEC ACASI and CAPI Questionnaires,Audio computer-assisted self-interview (ACASI) and computer-assisted personal interview (CAPI) questionnaires are administered in the MEC. During the visit to the examination center additional questions are administered that cover more sensitive areas such as reproductive health and illegal drug use. The sections are labeled to reflect content.,2013-2014,,[PDF - 26 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_H.pdf
MEC ACASI and CAPI Questionnaires,Audio computer-assisted self-interview (ACASI) and computer-assisted personal interview (CAPI) questionnaires are administered in the MEC. During the visit to the examination center additional questions are administered that cover more sensitive areas such as reproductive health and illegal drug use. The sections are labeled to reflect content.,2015-2016,,[PDF - 24 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_I.pdf
MEC ACASI and CAPI Questionnaires,Audio computer-assisted self-interview (ACASI) and computer-assisted personal interview (CAPI) questionnaires are administered in the MEC. During the visit to the examination center additional questions are administered that cover more sensitive areas such as reproductive health and illegal drug use. The sections are labeled to reflect content.,2017-2018,,[PDF - 30 KB],https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/questionnaires/ACQ_J.pdf
