,Column,Code,Label,English_Text,Target,Class,Other For
1053,WTSVOC2Y,10318.116737 To 472152.19294,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1059,WTSVOC2Y,0 To 322113.58855,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1061,WTSVOC2Y,0 To 499733.23816,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1063,WTSVOC2Y,7427.533182 To 928802.19042,Range Of Values,"[nan, 'VOC subsample 2 yr MEC Weight', 'VOC Subsample 2 yr MEC weight', 'VOC Subsample Weight']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1066,WTSVOC4Y,2836.3452371 To 306407.42974,Range Of Values,"[nan, 'VOC subsample 4 yr MEC Weight']",['Both males and females 20 YEARS - 59 YEARS'],,
1067,WTSVOC4Y,0,Non-Respondent,"[nan, 'VOC subsample 4 yr MEC Weight']",['Both males and females 20 YEARS - 59 YEARS'],,
1068,WTSVOC4Y,.,Missing,"[nan, 'VOC subsample 4 yr MEC Weight']",['Both males and females 20 YEARS - 59 YEARS'],,
1069,WTSVOC4Y,0 To 345630.72173,Range Of Values,"[nan, 'VOC subsample 4 yr MEC Weight']",['Both males and females 20 YEARS - 59 YEARS'],,
1071,LBXWBF,0.0327 To 48.3,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1072,LBXWBF,.,Missing,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1073,LBXWBF,0.0337 To 30,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1075,LBXWBF,0.0707 To 31,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1077,LBXWBF,0.0707 To 77,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1079,LBXWBF,0.0707 To 60,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1081,LBXWBF,0.0707 To 45.7,Range Of Values,"['Bromoform Result', 'Water Bromoform Result (ng/mL)', 'Water Bromoform Result', 'Water Bromoform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1083,LBXWCF,0.1506 To 233,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1084,LBXWCF,.,Missing,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1085,LBXWCF,0.0849 To 147,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1087,LBXWCF,0.0849 To 130,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1089,LBXWCF,0.0863 To 120,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
