,Column,Code,Label,English_Text,Target,Class,Other For
1091,LBXWCF,0.0849 To 109,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1093,LBXWCF,0.0849 To 229,Range Of Values,"['Chloroform Result', 'Water Chloroform Result', 'Water Chloroform (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1095,LBXWBM,0.0785 To 39.3,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1096,LBXWBM,.,Missing,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1097,LBXWBM,0.0354 To 32,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1099,LBXWBM,0.0354 To 37,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1101,LBXWBM,0.0354 To 84,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1103,LBXWBM,0.0354 To 51.2,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1105,LBXWBM,0.0354 To 74.6,Range Of Values,"['Bromodichloromethane Result', 'Water Bromodichloromethane Result (ng/mL)', 'Water Bromodichloromethane Result', 'Water Bromodichloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1107,LBXWCM,0.0785 To 31.7,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1108,LBXWCM,.,Missing,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1109,LBXWCM,0.0707 To 34.8,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1111,LBXWCM,0.0707 To 34,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1113,LBXWCM,0.0707 To 66,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1115,LBXWCM,0.0707 To 67,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1117,LBXWCM,0.0707 To 27.8,Range Of Values,"['Dibromochloromethane Result', 'Water Dibromochloromethane Result (ng/mL)', 'Water Dibromochloromethane Result', 'Water Dibromochloromethane (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1119,LBXWME,0.0707 To 25.4,Range Of Values,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
1120,LBXWME,.,Missing,"['Methyl tert. butyl ether (MTBE) Result', 'Water Methyl tert. butyl ether (MTBE) Result (ng/mL)', 'Water Methyl tert. butyl ether (MTBE) Result', 'Water MTBE (ng/mL)', 'Water Methyl-tert-butyl ether (MTBE) (ng/mL)']","['Both males and females 20 YEARS - 59 YEARS', 'Both males and females 12 YEARS - 150 YEARS']",,
