,Column,Attribute,attributeOf,Unit,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy
474,TYXA047,,,,,,,,,,
475,TYXA048,,,,,,,,,,
476,TYXA049,,,,,,,,,,
477,TYXA050,,,,,,,,,,
478,TYXA051,,,,,,,,,,
479,TYXA052,,,,,,,,,,
480,TYXA053,,,,,,,,,,
481,TYXA054,,,,,,,,,,
482,TYXA055,,,,,,,,,,
483,TYXA056,,,,,,,,,,
484,TYXA057,,,,,,,,,,
485,TYXA058,,,,,,,,,,
486,TYXA059,,,,,,,,,,
487,TYXA060,,,,,,,,,,
488,TYXA061,,,,,,,,,,
489,TYXA062,,,,,,,,,,
490,TYXA063,,,,,,,,,,
491,TYXA064,,,,,,,,,,
492,TYXA065,,,,,,,,,,
493,TYXA066,,,,,,,,,,
494,TYXA067,,,,,,,,,,
495,TYXA068,,,,,,,,,,
496,TYXA069,,,,,,,,,,
497,TYXA070,,,,,,,,,,
498,TYXA071,,,,,,,,,,
499,TYXA072,,,,,,,,,,
500,TYXA073,,,,,,,,,,
501,TYXA074,,,,,,,,,,
502,TYXA075,,,,,,,,,,
503,TYXA076,,,,,,,,,,
504,TYXA077,,,,,,,,,,
505,TYXA078,,,,,,,,,,
506,TYXA079,,,,,,,,,,
507,TYXA080,,,,,,,,,,
508,TYXA081,,,,,,,,,,
509,TYXA082,,,,,,,,,,
510,TYXA083,,,,,,,,,,
511,TYXA084,,,,,,,,,,
512,TYXA085,,,,,,,,,,
513,TYXA086,,,,,,,,,,
514,TYXA087,,,,,,,,,,
515,TYXA088,,,,,,,,,,
516,TYXA089,,,,,,,,,,
517,TYXA090,,,,,,,,,,
518,TYXA091,,,,,,,,,,
519,TYXA092,,,,,,,,,,
520,TYXA093,,,,,,,,,,
521,TYXA094,,,,,,,,,,
522,TYXA095,,,,,,,,,,
523,TYXA096,,,,,,,,,,
524,TYXA097,,,,,,,,,,
525,TYXA098,,,,,,,,,,
526,TYXA099,,,,,,,,,,
527,TYXA100,,,,,,,,,,
528,TYXA101,,,,,,,,,,
529,TYXA102,,,,,,,,,,
530,TYXA103,,,,,,,,,,
531,TYXA104,,,,,,,,,,
532,TYXA105,,,,,,,,,,
533,TYXA106,,,,,,,,,,
534,TYXA107,,,,,,,,,,
535,TYXA108,,,,,,,,,,
536,TYXA109,,,,,,,,,,
537,TYXA110,,,,,,,,,,
538,TYXA111,,,,,,,,,,
539,TYXA112,,,,,,,,,,
540,TYXA113,,,,,,,,,,
541,TYXA114,,,,,,,,,,
542,TYXA115,,,,,,,,,,
543,TYXA116,,,,,,,,,,
544,TYXA117,,,,,,,,,,
545,TYXA118,,,,,,,,,,
546,TYXA119,,,,,,,,,,
547,TYXA120,,,,,,,,,,
548,TYXA121,,,,,,,,,,
549,TYXA122,,,,,,,,,,
550,TYXA123,,,,,,,,,,
551,TYXA124,,,,,,,,,,
552,TYXA125,,,,,,,,,,
553,TYXA126,,,,,,,,,,
554,TYXA127,,,,,,,,,,
555,TYXA128,,,,,,,,,,
556,TYXA129,,,,,,,,,,
557,TYXA130,,,,,,,,,,
558,TYXA131,,,,,,,,,,
559,TYXA132,,,,,,,,,,
560,TYXA133,,,,,,,,,,
561,TYXA134,,,,,,,,,,
562,TYXA135,,,,,,,,,,
563,TYXA136,,,,,,,,,,
564,TYXA137,,,,,,,,,,
565,TYXA138,,,,,,,,,,
566,TYXA139,,,,,,,,,,
567,TYXA140,,,,,,,,,,
568,TYXA141,,,,,,,,,,
569,TYXA142,,,,,,,,,,
570,TYXA143,,,,,,,,,,
571,TYXA144,,,,,,,,,,
572,TYXA145,,,,,,,,,,
573,TYXA146,,,,,,,,,,
574,TYXA147,,,,,,,,,,
575,TYXA148,,,,,,,,,,
576,TYXA149,,,,,,,,,,
577,TYXA150,,,,,,,,,,
578,TYXA151,,,,,,,,,,
579,TYXA152,,,,,,,,,,
580,TYXA153,,,,,,,,,,
581,TYXA154,,,,,,,,,,
582,TYXA155,,,,,,,,,,
583,TYXA156,,,,,,,,,,
584,TYXA157,,,,,,,,,,
585,TYXA158,,,,,,,,,,
586,TYXA159,,,,,,,,,,
587,TYXA160,,,,,,,,,,
588,TYXA161,,,,,,,,,,
589,TYXA162,,,,,,,,,,
590,TYXA163,,,,,,,,,,
591,TYXA164,,,,,,,,,,
592,TYXA165,,,,,,,,,,
593,TYXA166,,,,,,,,,,
594,TYXA167,,,,,,,,,,
595,TYXA168,,,,,,,,,,
596,TYXA169,,,,,,,,,,
597,TYXA170,,,,,,,,,,
598,TYXA171,,,,,,,,,,
599,TYXA172,,,,,,,,,,
600,TYXA173,,,,,,,,,,
601,TYXA174,,,,,,,,,,
602,TYXA175,,,,,,,,,,
603,TYXA176,,,,,,,,,,
604,TYXA177,,,,,,,,,,
605,TYXA178,,,,,,,,,,
606,TYXA179,,,,,,,,,,
607,TYXA180,,,,,,,,,,
608,TYXA181,,,,,,,,,,
609,TYXA182,,,,,,,,,,
610,TYXA183,,,,,,,,,,
611,TYXA184,,,,,,,,,,
612,TYXA185,,,,,,,,,,
613,TYXA186,,,,,,,,,,
614,TYXA187,,,,,,,,,,
615,TYXA188,,,,,,,,,,
616,TYXA189,,,,,,,,,,
617,TYXA190,,,,,,,,,,
618,TYXA191,,,,,,,,,,
619,TYXA192,,,,,,,,,,
620,TYXA193,,,,,,,,,,
621,TYXA194,,,,,,,,,,
622,TYXA195,,,,,,,,,,
623,TYXA196,,,,,,,,,,
624,TYXA197,,,,,,,,,,
625,TYXA198,,,,,,,,,,
626,TYXA199,,,,,,,,,,
627,TYXA200,,,,,,,,,,
628,TYXA201,,,,,,,,,,
629,TYXA202,,,,,,,,,,
630,TYXA203,,,,,,,,,,
631,TYXA204,,,,,,,,,,
632,TYXA205,,,,,,,,,,
633,TYXA206,,,,,,,,,,
634,TYXA207,,,,,,,,,,
635,TYXA208,,,,,,,,,,
636,TYXA209,,,,,,,,,,
637,TYXA210,,,,,,,,,,
638,TYXA211,,,,,,,,,,
639,TYXA212,,,,,,,,,,
640,TYXA213,,,,,,,,,,
641,TYXA214,,,,,,,,,,
642,TYXA215,,,,,,,,,,
643,TYXA216,,,,,,,,,,
644,TYXA217,,,,,,,,,,
645,TYXA218,,,,,,,,,,
646,TYXA219,,,,,,,,,,
647,TYXA220,,,,,,,,,,
648,TYXA221,,,,,,,,,,
649,TYXA222,,,,,,,,,,
650,TYXA223,,,,,,,,,,
651,TYXA224,,,,,,,,,,
652,TYXA225,,,,,,,,,,
653,TYXA226,,,,,,,,,,
654,TYXA227,,,,,,,,,,
655,TYXA228,,,,,,,,,,
656,TYXA229,,,,,,,,,,
657,TYXA230,,,,,,,,,,
658,TYXA231,,,,,,,,,,
659,TYXA232,,,,,,,,,,
660,TYXA233,,,,,,,,,,
661,TYXA234,,,,,,,,,,
662,TYXA235,,,,,,,,,,
663,TYXA236,,,,,,,,,,
664,TYXA237,,,,,,,,,,
665,TYXA238,,,,,,,,,,
666,TYXA239,,,,,,,,,,
667,TYXA240,,,,,,,,,,
668,TYXA241,,,,,,,,,,
669,TYXA242,,,,,,,,,,
670,TYXA243,,,,,,,,,,
671,TYXA244,,,,,,,,,,
672,TYXA245,,,,,,,,,,
673,TYXA246,,,,,,,,,,
674,TYXA247,,,,,,,,,,
675,TYXA248,,,,,,,,,,
676,TYXA249,,,,,,,,,,
677,TYXA250,,,,,,,,,,
678,TYXA251,,,,,,,,,,
679,TYXA252,,,,,,,,,,
680,TYXA253,,,,,,,,,,
681,TYXA254,,,,,,,,,,
682,TYXA255,,,,,,,,,,
683,TYXA256,,,,,,,,,,
