"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"SXQ_H","SXD001","SXD001",NA,NA,"Males only 18 YEARS - 59 YEARS",NA,NA
"SXQ_H","SXD002","SXD002",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD101","SXD101","# male sex partners/lifetime","In your lifetime with how many men have you had any kind of sex?","Females only 18 YEARS - 69 YEARS",NA,"Code.or.Value=[""0 to 500"", ""2000"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""2000 or more"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2321"", ""0"", ""14"", ""4"", ""2718""]; Cumulative=[""2321"", ""2321"", ""2335"", ""2339"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXD715","SXD715",NA,NA,"Females only 14 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD450","SXD450","# male sex partners/year","In the past 12 months with how many men have you had any kind of sex?","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 30"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1895"", ""7"", ""0"", ""3155""]; Cumulative=[""1895"", ""1902"", ""1902"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ721","SXQ721",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ724","SXQ724","# male vaginal sex partners/lifetime","In your lifetime with how many men have you had vaginal sex? Vaginal sex means a mans penis in your vagina.","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1 to 500"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1769"", ""9"", ""1"", ""3278""]; Cumulative=[""1769"", ""1778"", ""1779"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ727","SXQ727","# male vaginal sex partners/year","In the past 12 months with how many men have you had vaginal sex? Vaginal sex means a mans penis in your vagina.","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 30"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1769"", ""9"", ""1"", ""3278""]; Cumulative=[""1769"", ""1778"", ""1779"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ730","SXQ730",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXD733","SXD733",NA,NA,"Females only 18 YEARS - 69 YEARS",NA,NA
"SXQ_H","SXQ130","SXQ130","# female sex partners/lifetime","In your lifetime with how many women have you had sex? By sex we mean sexual contact with another womans vagina or genitals.","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1 to 100"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""192"", ""0"", ""0"", ""4865""]; Cumulative=[""192"", ""192"", ""192"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ490","SXQ490","# female sex partners/year","In the past 12 months with how many women have you had sex? By sex we mean sexual contact with another womans vagina or genitals.","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""0 to 7"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""191"", ""1"", ""0"", ""4865""]; Cumulative=[""191"", ""192"", ""192"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"SXQ_H","SXQ741","SXQ741","Ever performed oral sex on a woman","Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a womans vagina or genitals.","Females only 18 YEARS - 59 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""156"", ""36"", ""0"", ""0"", ""4865""]; Cumulative=[""156"", ""192"", ""192"", ""192"", ""5057""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
