"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"WHQ_F","WHD100Q","WHD100Q","Ate more fruits vegetables salads","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""43"", "".""]; Value.Description=[""Ate more fruits, vegetables, salads"", ""Missing""]; Count=[""219"", ""6670""]; Cumulative=[""219"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100R","WHD100R","Changed eating habits","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""44"", "".""]; Value.Description=[""Changed eating habits"", ""Missing""]; Count=[""135"", ""6754""]; Cumulative=[""135"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100S","WHD100S","Ate less sugar candy sweets","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""45"", "".""]; Value.Description=[""Ate less sugar, candy, sweets"", ""Missing""]; Count=[""148"", ""6741""]; Cumulative=[""148"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHD100T","WHD100T","Ate less junk food or fast food","What did {you/SP} do to keep from gaining weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""46"", "".""]; Value.Description=[""Ate less junk food or fast food"", ""Missing""]; Count=[""188"", ""6701""]; Cumulative=[""188"", ""6889""]; Skip.to.Item=[""NA"", ""NA""]"
"WHQ_F","WHQ210","WHQ210","Ever tried to lose weight","Have you/Has SP ever tried to lose weight?","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""1257"", ""2950"", ""1"", ""5"", ""2676""]; Cumulative=[""1257"", ""4207"", ""4208"", ""4213"", ""6889""]; Skip.to.Item=["""", ""WHQ105"", ""WHQ105"", ""WHQ105"", """"]"
"WHQ_F","WHD220","WHD220","Weight loss most successful (pounds)","Weight loss most successful(pounds)","Both males and females 16 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 248"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""3849"", ""1"", ""50"", ""2989""]; Cumulative=[""3849"", ""3850"", ""3900"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ105","WHQ105",NA,NA,"Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHD110","WHD110","Self-reported weight-10 yrs ago (pounds)","How much did {you/SP} weigh 10 years ago? [If you dont know {your/his/her} exact weight please make your best guess.]","Both males and females 36 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 450"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""4327"", ""4"", ""187"", ""2371""]; Cumulative=[""4327"", ""4331"", ""4518"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ115a","WHQ115a",NA,NA,"Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHD120","WHD120","Self-reported weight-age 25 (pounds)","How much did {you/SP} weigh at age 25? [If you dont know {your/his/her} exact weight please make your best guess.] If ( you were/she was) pregnant how much did (you/she) weigh before (your/her) pregnancy?","Both males and females 27 YEARS - 150 YEARS",NA,"Code.or.Value=[""50 to 441"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""5107"", ""2"", ""298"", ""1482""]; Cumulative=[""5107"", ""5109"", ""5407"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ125","WHQ125",NA,NA,"Both males and females 16 YEARS - 150 YEARS",NA,NA
"WHQ_F","WHD130","WHD130","Self-reported height - age 25 (inches)","How tall {were you/was SP} at age 25? [If you dont know {your/his/her} exact height please make your best guess.]","Both males and females 50 YEARS - 150 YEARS",NA,"Code.or.Value=[""41 to 80"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""2873"", ""0"", ""142"", ""3874""]; Cumulative=[""2873"", ""2873"", ""3015"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHD140","WHD140","Self-reported greatest weight (pounds)","Up to the present time what is the most {you have/SP has} ever weighed?","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""86 to 717"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6399"", ""8"", ""98"", ""384""]; Cumulative=[""6399"", ""6407"", ""6505"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"WHQ_F","WHQ150","WHQ150","Age when heaviest weight","How old {were you/was SP} then? [If you dont know {your/his/her} exact age please make your best guess.]","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""7 to 79"", ""80"", ""77777"", ""99999"", "".""]; Value.Description=[""Range of Values"", ""80 years or older"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""6236"", ""122"", ""1"", ""38"", ""492""]; Cumulative=[""6236"", ""6358"", ""6359"", ""6397"", ""6889""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
