"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DIQ_I","DIQ230","DIQ230","How long ago saw a diabetes specialist","When was the last time {you/SP} saw a diabetes nurse educator or dietitian or nutritionist for {your/his/her} diabetes? Do not include doctors or other health professionals.","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""7"", ""9"", "".""]; Value.Description=[""1 year ago or less"", ""More than 1 year ago but no more than 2 years ago"", ""More than 2 years ago but no more than 5 years ago"", ""More than 5 years ago"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""276"", ""64"", ""86"", ""85"", ""330"", ""0"", ""12"", ""8722""]; Cumulative=[""276"", ""340"", ""426"", ""511"", ""841"", ""841"", ""853"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ240","DIQ240","Is there one Dr you see for diabetes","Is there one doctor or other health professional {you usually see/SP usually sees} for {your/his/her} diabetes? Do not include specialists to whom {you have/SP has} been referred such as diabetes educators dieticians or foot and eye doctors.","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""643"", ""210"", ""0"", ""0"", ""8722""]; Cumulative=[""643"", ""853"", ""853"", ""853"", ""9575""]; Skip.to.Item=["""", ""DID260"", ""DID260"", ""DID260"", """"]"
"DIQ_I","DID250","DID250","Past year how many times seen doctor","How many times {have you/has SP} seen this doctor or other health professional in the past 12 months?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 60"", ""0"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""None"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""627"", ""13"", ""0"", ""3"", ""8932""]; Cumulative=[""627"", ""640"", ""640"", ""643"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID260","DID260","How often check blood for glucose/sugar","How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend but do not include times when checked by a doctor or other health professional.","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 15"", ""0"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""Never"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""661"", ""188"", ""0"", ""0"", ""8726""]; Cumulative=[""661"", ""849"", ""849"", ""849"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ260U","DIQ260U","Unit of measure (day/week/month/year)","How often {do you check your/does SP check his/her} blood for glucose or sugar? Include times when checked by a family member or friend but do not include times when checked by a doctor or other health professional.","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Per day"", ""Per week"", ""Per month"", ""Per year"", ""Missing""]; Count=[""412"", ""150"", ""65"", ""34"", ""8914""]; Cumulative=[""412"", ""562"", ""627"", ""661"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ275","DIQ275","Past year Dr checked for A1C","Glycosylated (GLY-KOH-SIH-LAY-TED) hemoglobin or the A one C test measures your average level of blood sugar for the past 3 months and usually ranges between 5.0 and 13.9. During the past 12 months has a doctor or other health professional checked {your/SPs} glycosylated hemoglobin or A one C?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""7"", ""9"", "".""]; Value.Description=[""Yes"", ""No"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""641"", ""156"", ""0"", ""56"", ""8722""]; Cumulative=[""641"", ""797"", ""797"", ""853"", ""9575""]; Skip.to.Item=["""", ""DIQ295"", ""DIQ295"", ""DIQ295"", """"]"
"DIQ_I","DIQ280","DIQ280","What was your last A1C level","What was {your/SPs} last A one C level?","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""2 to 18.5"", ""777"", ""999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""404"", ""2"", ""235"", ""8934""]; Cumulative=[""404"", ""406"", ""641"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ291","DIQ291","What does Dr say A1C should be","What does {your/SPs} doctor or other health professional say {your/his/her} A one C level should be? (Pick the lowest level recommended by your health care professional.)","Both males and females 1 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""77"", ""99"", "".""]; Value.Description=[""Less than 6"", ""Less than 7"", ""Less than 8"", ""Less than 9"", ""Less than 10"", ""Provider did not specify goal"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""213"", ""182"", ""32"", ""5"", ""9"", ""88"", ""2"", ""110"", ""8934""]; Cumulative=[""213"", ""395"", ""427"", ""432"", ""441"", ""529"", ""531"", ""641"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ295","DIQ295",NA,NA,"Both males and females 1 YEARS - 150 YEARS",NA,NA
"DIQ_I","DIQ300S","DIQ300S","What was your recent SBP","Blood pressure is usually given as one number over another. What was   {your/SPs} most recent blood pressure in numbers?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 201"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""539"", ""1"", ""305"", ""8730""]; Cumulative=[""539"", ""540"", ""845"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ300D","DIQ300D","What was your recent DBP","Blood pressure is usually given as one number over another. What was   {your/SPs} most recent blood pressure in numbers?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""17 to 251"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""515"", ""2"", ""328"", ""8730""]; Cumulative=[""515"", ""517"", ""845"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID310S","DID310S","What does Dr say SBP should be","What does {your/SPs} doctor or other health professional say {your/his/her}   blood pressure should be?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""80 to 175"", ""6666"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Provider did not specify goal"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""336"", ""308"", ""2"", ""200"", ""8729""]; Cumulative=[""336"", ""644"", ""646"", ""846"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID310D","DID310D","What does Dr say DBP should be","What does {your/SPs} doctor or other health professional say {your/his/her}   blood pressure should be?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""18 to 140"", ""6666"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Provider did not specify goal"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""315"", ""308"", ""2"", ""221"", ""8729""]; Cumulative=[""315"", ""623"", ""625"", ""846"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID320","DID320","What was most recent LDL number","One part of total serum cholesterol in {your/SPs} blood is a bad cholesterol   called LDL which builds up and clogs {your/his/her} arteries. What was {your/his/her} most   recent LDL cholesterol number?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""4 to 520"", ""5555"", ""6666"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""Never heard of LDL"", ""Never had cholesterol test"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""115"", ""59"", ""34"", ""5"", ""633"", ""8729""]; Cumulative=[""115"", ""174"", ""208"", ""213"", ""846"", ""9575""]; Skip.to.Item=["""", ""DID341"", ""DID341"", """", """", """"]"
"DIQ_I","DID330","DID330","What does Dr say LDL should be","What does {your/SPs} doctor or other health professional say {your/his/her}   LDL cholesterol should be?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""9999"", ""."", ""6 to 205"", ""6666"", ""7777""]; Value.Description=[""Don't know"", ""Missing"", ""Range of Values"", ""Provider did not specify goal"", ""Refused""]; Count=[""421"", ""8822"", ""87"", ""242"", ""3""]; Cumulative=[""753"", ""9575"", ""87"", ""329"", ""332""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID341","DID341","Past year times Dr check feet for sores","During the past 12 months about how many times has a doctor or other health professional checked {your/SPs} feet for any sores or irritations?","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 34"", ""0"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""None"", ""Refused"", ""Don't know/not sure"", ""Missing""]; Count=[""590"", ""242"", ""2"", ""9"", ""8732""]; Cumulative=[""590"", ""832"", ""834"", ""843"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DID350","DID350","How often do you check your feet","How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend but do not include times when checked by a doctor or other health professional.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1 to 20"", ""0"", ""7777"", ""9999"", "".""]; Value.Description=[""Range of Values"", ""None"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""699"", ""139"", ""0"", ""5"", ""8732""]; Cumulative=[""699"", ""838"", ""838"", ""843"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DIQ_I","DIQ350U","DIQ350U","Unit of measure (day/week/month/year)","How often {do you check your feet/does SP check (his/her) feet} for sores or irritations? Include times when checked by a family member or friend but do not include times when checked by a doctor or other health professional.","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", "".""]; Value.Description=[""Per day"", ""Per week"", ""Per month"", ""Per year"", ""Missing""]; Count=[""487"", ""152"", ""46"", ""14"", ""8876""]; Cumulative=[""487"", ""639"", ""685"", ""699"", ""9575""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
