"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DR2TOT_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR2TOT_I","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1974.178694 to 454277.71731"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""8506"", ""1038"", ""0""]; Cumulative=[""8506"", ""9544"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2TS140","DR2TS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 18.762"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS160","DR2TS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 81.702"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TS180","DR2TS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 35.86"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TM161","DR2TM161","MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8.195"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TM181","DR2TM181","MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 165.762"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TM201","DR2TM201","MFA 20:1 (Eicosenoic) (gm)","MFA 20:1 (Eicosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.555"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TM221","DR2TM221","MFA 22:1 (Docosenoic) (gm)","MFA 22:1 (Docosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.697"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP182","DR2TP182","PFA 18:2 (Octadecadienoic) (gm)","PFA 18:2 (Octadecadienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 114.389"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP183","DR2TP183","PFA 18:3 (Octadecatrienoic) (gm)","PFA 18:3 (Octadecatrienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 22.812"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP184","DR2TP184","PFA 18:4 (Octadecatetraenoic) (gm)","PFA 18:4 (Octadecatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 0.969"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP204","DR2TP204","PFA 20:4 (Eicosatetraenoic) (gm)","PFA 20:4 (Eicosatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.935"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP205","DR2TP205","PFA 20:5 (Eicosapentaenoic) (gm)","PFA 20:5 (Eicosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.282"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP225","DR2TP225","PFA 22:5 (Docosapentaenoic) (gm)","PFA 22:5 (Docosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.216"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TP226","DR2TP226","PFA 22:6 (Docosahexaenoic) (gm)","PFA 22:6 (Docosahexaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5.316"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""6875"", ""2669""]; Cumulative=[""6875"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2_300","DR2_300","Compare food consumed yesterday to usual","Was the amount of food that {you/NAME} ate yesterday much more than usual usual or much less than usual?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Much more than usual"", ""Usual"", ""Much less than usual"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""397"", ""5759"", ""876"", ""1"", ""38"", ""2473""]; Cumulative=[""397"", ""6156"", ""7032"", ""7033"", ""7071"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DR2TOT_I","DR2_320Z","DR2_320Z","Total plain water drank yesterday (gm)","Total plain water drank yesterday - including plain tap water water from a drinking fountain water from a water cooler bottled water and spring water.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11520"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7027"", ""2517""]; Cumulative=[""7027"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2_330Z","DR2_330Z","Total tap water drank yesterday (gm)","Total tap water drank yesterday - including filtered tap water and water from a drinking fountain.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10560"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7027"", ""2517""]; Cumulative=[""7027"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2BWATZ","DR2BWATZ","Total bottled water drank yesterday (gm)","Total bottled water drank yesterday. (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11520"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""7027"", ""2517""]; Cumulative=[""7027"", ""9544""]; Skip.to.Item=[""NA"", ""NA""]"
"DR2TOT_I","DR2TWS","DR2TWS","Tap water source","When you drink tap water what is the main source of the tap water? Is the city water supply (community water supply); a well or rain cistern; a spring; or something else?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""91"", ""99"", "".""]; Value.Description=[""Community supply"", ""Well or rain cistern"", ""Spring"", ""Don't drink tap water"", ""Other"", ""Don't know"", ""Missing""]; Count=[""4456"", ""503"", ""56"", ""1686"", ""0"", ""370"", ""2473""]; Cumulative=[""4456"", ""4959"", ""5015"", ""6701"", ""6701"", ""7071"", ""9544""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
