"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"DXX_I","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_I","DXDRLTOT","DXDRLTOT","Right Leg Total (g)","Right Leg Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""2854.6 to 36990.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4819"", ""961""]; Cumulative=[""4819"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXDRLPF","DXDRLPF","Right Leg Percent Fat","Right Leg Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""10.5 to 60.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4853"", ""927""]; Cumulative=[""4853"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLRA","DXXLRA","Left Ribs Area (cm^2)","Left Ribs Area(cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""44.31 to 207.27"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLRBMC","DXXLRBMC","Left Ribs BMC (g)","Left Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""16.03 to 170.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLRBMD","DXXLRBMD","Left Ribs BMD (g/cm^2)","Left Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.324 to 1.07"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRRA","DXXRRA","Right Ribs Area (cm^2)","Right Ribs Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""42.66 to 265.74"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRRBMC","DXXRRBMC","Right Ribs BMC (g)","Right Ribs Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""13.22 to 220.91"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXRRBMD","DXXRRBMD","Right Ribs BMD (g/cm^2)","Right Ribs Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.31 to 1.057"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXTSA","DXXTSA","Thoracic Spine Area (cm^2)","Thoracic Spine Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""47.54 to 262"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXTSBMC","DXXTSBMC","Thoracic Spine BMC (g)","Thoracic Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""19.51 to 260.26"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXTSBMD","DXXTSBMD","Thoracic Spine BMD (g/cm^2)","Thoracic Spine Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.334 to 1.447"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLSA","DXXLSA","Lumbar Spine Area (cm^2)","Lumbar Spine Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""8.39 to 85.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLSBMC","DXXLSBMC","Lumbar Spine BMC (g)","Lumbar Spine Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""4.77 to 119.38"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_I","DXXLSBMD","DXXLSBMD","Lumbar Spine BMD (g/cm^2)","Lumbar Spine Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.441 to 1.84"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4946"", ""834""]; Cumulative=[""4946"", ""5780""]; Skip.to.Item=[""NA"", ""NA""]"
