"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DXX_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 59 YEARS",NA,NA
"DXX_J","DXARATV","DXARATV","Right Arm Tissue Invalidity Code","Right Arm Tissue Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4071"", ""36"", ""99"", ""112"", ""16"", ""2"", ""778""]; Cumulative=[""4071"", ""4107"", ""4206"", ""4318"", ""4334"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXRAFAT","DXXRAFAT","Right Arm Fat (g)","Right Arm Fat (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""162.2 to 6857.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4008"", ""1106""]; Cumulative=[""4008"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRALE","DXDRALE","Right Arm Lean excl BMC (g)","Right Arm Lean excl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""720.1 to 7968.7"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4008"", ""1106""]; Cumulative=[""4008"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRALI","DXXRALI","Right Arm Lean incl BMC (g)","Right Arm Lean incl Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""767.5 to 8388.9"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4031"", ""1083""]; Cumulative=[""4031"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRATOT","DXDRATOT","Right Arm Total (g)","Right Arm Total (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""1035.6 to 10706.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3981"", ""1133""]; Cumulative=[""3981"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXDRAPF","DXDRAPF","Right Arm Percent Fat","Right Arm Percent Fat","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""11.1 to 66.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4008"", ""1106""]; Cumulative=[""4008"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXARLBV","DXARLBV","Right Leg Bone Invalidity Code","Right Leg Bone Invalidity Code","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0"", ""1"", ""4"", ""5"", ""6"", ""7"", "".""]; Value.Description=[""Valid data"", ""Removable or non-removable objects"", ""Arm/leg overlap"", ""Body parts out of scan region"", ""Positioning problem"", ""Other"", ""Missing""]; Count=[""4049"", ""58"", ""77"", ""144"", ""7"", ""1"", ""778""]; Cumulative=[""4049"", ""4107"", ""4184"", ""4328"", ""4335"", ""4336"", ""5114""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"DXX_J","DXXRLA","DXXRLA","Right Leg Area (cm^2)","Right Leg Area (cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""61.62 to 526.94"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3988"", ""1126""]; Cumulative=[""3988"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRLBMC","DXXRLBMC","Right Leg BMC (g)","Right Leg Bone Mineral Content (grams)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""46.03 to 1136.3"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3988"", ""1126""]; Cumulative=[""3988"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
"DXX_J","DXXRLBMD","DXXRLBMD","Right Leg BMD(g/cm^2)","Right Leg Bone Mineral Density (grams/cm^2)","Both males and females 8 YEARS - 59 YEARS",NA,"Code.or.Value=[""0.592 to 2.613"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""3988"", ""1126""]; Cumulative=[""3988"", ""5114""]; Skip.to.Item=[""NA"", ""NA""]"
