"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"OHXPERIO","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"OHXPERIO","OHAEXSTS","OHAEXSTS","Overall Oral Health Exam Status","Overall Oral Health Exam Status","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", "".""]; Value.Description=[""Completed"", ""Partial"", ""Not Done"", ""Missing""]; Count=[""4880"", ""1488"", ""390"", ""0""]; Cumulative=[""4880"", ""6368"", ""6758"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15CJS","OHD15CJS","LOA: mesial #15 FGM/CEJ","Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1361"", ""459"", ""4938""]; Cumulative=[""1361"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15PCS","OHD15PCS","LOA: mesial #15 PD","Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1361"", ""459"", ""4938""]; Cumulative=[""1361"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD15LAS","OHD15LAS","LOA: mesial #15 calculated LA","Loss of Attachment: Upper left 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1361"", ""459"", ""4938""]; Cumulative=[""1361"", ""1820"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14CJM","OHD14CJM","LOA: mid-facial #14 FGM/CEJ","Loss of Attachment: Upper left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1350"", ""467"", ""4941""]; Cumulative=[""1350"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14PCM","OHD14PCM","LOA: mid-facial #14 PD","Loss of Attachment: Upper left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1350"", ""467"", ""4941""]; Cumulative=[""1350"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14LAM","OHD14LAM","LOA: mid-facial #14 calculated LA","Loss of Attachment: Upper left 1st molar (1M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1350"", ""467"", ""4941""]; Cumulative=[""1350"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14CJS","OHD14CJS","LOA: mesial #14 FGM/CEJ","Loss of Attachment: Upper left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1348"", ""469"", ""4941""]; Cumulative=[""1348"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14PCS","OHD14PCS","LOA: mesial #14 PD","Loss of Attachment: Upper left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1348"", ""469"", ""4941""]; Cumulative=[""1348"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD14LAS","OHD14LAS","LOA: mesial #14 calculated LA","Loss of Attachment: Upper left 1st molar (1M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1348"", ""469"", ""4941""]; Cumulative=[""1348"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13CJM","OHD13CJM","LOA: mid-facial #13 FGM/CEJ","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-7 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13PCM","OHD13PCM","LOA: mid-facial #13 PD","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13LAM","OHD13LAM","LOA: mid-facial #13 calculated LA","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13CJS","OHD13CJS","LOA: mesial #13 FGM/CEJ","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13PCS","OHD13PCS","LOA: mesial #13 PD","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD13LAS","OHD13LAS","LOA: mesial #13 calculated LA","Loss of Attachment: Upper left 2nd bicuspid/2nd primary molar (2B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1424"", ""392"", ""4942""]; Cumulative=[""1424"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12CJM","OHD12CJM","LOA: mid-facial #12 FGM/CEJ","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1405"", ""411"", ""4942""]; Cumulative=[""1405"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12PCM","OHD12PCM","LOA: mid-facial #12 PD","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1405"", ""411"", ""4942""]; Cumulative=[""1405"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12LAM","OHD12LAM","LOA: mid-facial #12 calculated LA","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 10"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1405"", ""411"", ""4942""]; Cumulative=[""1405"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12CJS","OHD12CJS","LOA: mesial #12 FGM/CEJ","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1397"", ""419"", ""4942""]; Cumulative=[""1397"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12PCS","OHD12PCS","LOA: mesial #12 PD","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1397"", ""419"", ""4942""]; Cumulative=[""1397"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD12LAS","OHD12LAS","LOA: mesial #12 calculated LA","Loss of Attachment: Upper left 1st bicuspid/1st primary molar (1B) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1397"", ""419"", ""4942""]; Cumulative=[""1397"", ""1816"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11CJM","OHD11CJM","LOA: mid-facial #11 FGM/CEJ","Loss of Attachment: Upper left cuspid (C) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-12 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11PCM","OHD11PCM","LOA: mid-facial #11 PD","Loss of Attachment: Upper left cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11LAM","OHD11LAM","LOA: mid-facial #11 calculated LA","Loss of Attachment: Upper left cuspid (C) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11CJS","OHD11CJS","LOA: mesial #11 FGM/CEJ","Loss of Attachment: Upper left cuspid (C) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-9 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11PCS","OHD11PCS","LOA: mesial #11 PD","Loss of Attachment: Upper left cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD11LAS","OHD11LAS","LOA: mesial #11 calculated LA","Loss of Attachment: Upper left cuspid (C) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1597"", ""217"", ""4944""]; Cumulative=[""1597"", ""1814"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10CJM","OHD10CJM","LOA: mid-facial #10 FGM/CEJ","Loss of Attachment: Upper left lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-5 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1527"", ""288"", ""4943""]; Cumulative=[""1527"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10PCM","OHD10PCM","LOA: mid-facial #10 PD","Loss of Attachment: Upper left lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1527"", ""288"", ""4943""]; Cumulative=[""1527"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10LAM","OHD10LAM","LOA: mid-facial #10 calculated LA","Loss of Attachment: Upper left lateral incisor (LI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1527"", ""288"", ""4943""]; Cumulative=[""1527"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10CJS","OHD10CJS","LOA: mesial #10 FGM/CEJ","Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1517"", ""298"", ""4943""]; Cumulative=[""1517"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10PCS","OHD10PCS","LOA: mesial #10 PD","Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1517"", ""298"", ""4943""]; Cumulative=[""1517"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD10LAS","OHD10LAS","LOA: mesial #10 calculated LA","Loss of Attachment: Upper left lateral incisor (LI) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1517"", ""298"", ""4943""]; Cumulative=[""1517"", ""1815"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09CJM","OHD09CJM","LOA: mid-facial #9 FGM/CEJ","Loss of Attachment: Upper left central incisor (CI) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1550"", ""267"", ""4941""]; Cumulative=[""1550"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09PCM","OHD09PCM","LOA: mid-facial #9 PD","Loss of Attachment: Upper left central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1550"", ""267"", ""4941""]; Cumulative=[""1550"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09LAM","OHD09LAM","LOA: mid-facial #9 calculated LA","Loss of Attachment: Upper left central incisor (CI) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1550"", ""267"", ""4941""]; Cumulative=[""1550"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09CJS","OHD09CJS","LOA: mesial #9 FGM/CEJ","Loss of Attachment: Upper left central incisor (CI) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-8 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1546"", ""271"", ""4941""]; Cumulative=[""1546"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09PCS","OHD09PCS","LOA: mesial #9 PD","Loss of Attachment: Upper left central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1546"", ""271"", ""4941""]; Cumulative=[""1546"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD09LAS","OHD09LAS","LOA: mesial #9 calculated LA","Loss of Attachment: Upper left central incisor (CI) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1546"", ""271"", ""4941""]; Cumulative=[""1546"", ""1817"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18CJM","OHD18CJM","LOA: mid-facial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1351"", ""473"", ""4934""]; Cumulative=[""1351"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18PCM","OHD18PCM","LOA: mid-facial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1351"", ""473"", ""4934""]; Cumulative=[""1351"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18LAM","OHD18LAM","LOA: mid-facial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 9"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1351"", ""473"", ""4934""]; Cumulative=[""1351"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18CJS","OHD18CJS","LOA: mesial #18 FGM/CEJ","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-6 to 4"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1345"", ""479"", ""4934""]; Cumulative=[""1345"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18PCS","OHD18PCS","LOA: mesial #18 PD","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1345"", ""479"", ""4934""]; Cumulative=[""1345"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD18LAS","OHD18LAS","LOA: mesial #18 calculated LA","Loss of Attachment: Lower left 2nd molar (2M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 11"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1345"", ""479"", ""4934""]; Cumulative=[""1345"", ""1824"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19CJM","OHD19CJM","LOA: mid-facial #19 FGM/CEJ","Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-10 to 2"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1244"", ""582"", ""4932""]; Cumulative=[""1244"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19PCM","OHD19PCM","LOA: mid-facial #19 PD","Loss of Attachment: Lower left 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1244"", ""582"", ""4932""]; Cumulative=[""1244"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19LAM","OHD19LAM","LOA: mid-facial #19 calculated LA","Loss of Attachment: Lower left 1st molar (1M) mid-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1244"", ""582"", ""4932""]; Cumulative=[""1244"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19CJS","OHD19CJS","LOA: mesial #19 FGM/CEJ","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""-4 to 3"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1231"", ""595"", ""4932""]; Cumulative=[""1231"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19PCS","OHD19PCS","LOA: mesial #19 PD","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Cannot be assessed"", ""Missing""]; Count=[""1231"", ""595"", ""4932""]; Cumulative=[""1231"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"OHXPERIO","OHD19LAS","OHD19LAS","LOA: mesial #19 calculated LA","Loss of Attachment: Lower left 1st molar (1M) mesio-facial - Level of attachment calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm)","Both males and females 18 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 8"", ""99"", "".""]; Value.Description=[""Range of Values"", ""Calculation cannot be determined"", ""Missing""]; Count=[""1231"", ""595"", ""4932""]; Cumulative=[""1231"", ""1826"", ""6758""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
