"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"BIX_C","SEQN","SEQN","Respondent sequence number","Respondent sequence number","Both males and females 8 YEARS - 49 YEARS",NA,NA
"BIX_C","BIAEXSTS","BIAEXSTS","BIA Status","BIA Status","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", "".""]; Value.Description=[""Examination completed"", ""Examination incomplete"", ""Not examined, pregnancy"", ""Not examined, weight > 300 lbs"", ""Not examined, jewelry or other objects not removed or metal in body"", ""Not examined, other reason"", ""Missing""]; Count=[""4298"", ""72"", ""276"", ""57"", ""238"", ""388"", ""0""]; Cumulative=[""4298"", ""4370"", ""4646"", ""4703"", ""4941"", ""5329"", ""5329""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"BIX_C","BIXC009K","BIXC009K","Reactance (Ohms) @ 9 KHz","Reactance (Ohms) @ 9 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""16.31 to 689.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC010K","BIXC010K","Reactance (Ohms) @ 10 KHz","Reactance (Ohms) @ 10 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""17.22 to 643.54"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC011K","BIXC011K","Reactance (Ohms) @ 11 KHz","Reactance (Ohms) @ 11 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""18.04 to 617.05"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC012K","BIXC012K","Reactance (Ohms) @ 12 KHz","Reactance (Ohms) @ 12 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""18.74 to 587.57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC013K","BIXC013K","Reactance (Ohms) @ 13 KHz","Reactance (Ohms) @ 13 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""19.24 to 559.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC014K","BIXC014K","Reactance (Ohms) @ 14 KHz","Reactance (Ohms) @ 14 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""20.16 to 542.74"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC015K","BIXC015K","Reactance (Ohms) @ 15 KHz","Reactance (Ohms) @ 15 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""20.75 to 528.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC016K","BIXC016K","Reactance (Ohms) @ 16 KHz","Reactance (Ohms) @ 16 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""21.34 to 513.25"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC018K","BIXC018K","Reactance (Ohms) @ 18 KHz","Reactance (Ohms) @ 18 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""22.41 to 486.34"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC020K","BIXC020K","Reactance (Ohms) @ 20 KHz","Reactance (Ohms) @ 20 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""23.59 to 460.36"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC023K","BIXC023K","Reactance (Ohms) @ 23 KHz","Reactance (Ohms) @ 23 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""24.94 to 429.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC025K","BIXC025K","Reactance (Ohms) @ 25 KHz","Reactance (Ohms) @ 25 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""25.71 to 411.47"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC028K","BIXC028K","Reactance (Ohms) @ 28 KHz","Reactance (Ohms) @ 28 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""26.75 to 390.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC031K","BIXC031K","Reactance (Ohms) @ 31 KHz","Reactance (Ohms) @ 31 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""27.88 to 375.99"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC035K","BIXC035K","Reactance (Ohms) @ 35 KHz","Reactance (Ohms) @ 35 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""29.1 to 238.85"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC039K","BIXC039K","Reactance (Ohms) @ 39 KHz","Reactance (Ohms) @ 39 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""30.07 to 221.45"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC043K","BIXC043K","Reactance (Ohms) @ 43 KHz","Reactance (Ohms) @ 43 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""30.76 to 206.63"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC050K","BIXC050K","Reactance (Ohms) @ 50 KHz","Reactance (Ohms) @ 50 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""31.98 to 194.79"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC054K","BIXC054K","Reactance (Ohms) @ 54 KHz","Reactance (Ohms) @ 54 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""32.28 to 193.56"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC060K","BIXC060K","Reactance (Ohms) @ 60 KHz","Reactance (Ohms) @ 60 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""32.93 to 193.29"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC067K","BIXC067K","Reactance (Ohms) @ 67 KHz","Reactance (Ohms) @ 67 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""33.47 to 162.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC075K","BIXC075K","Reactance (Ohms) @ 75 KHz","Reactance (Ohms) @ 75 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""34 to 154.64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC083K","BIXC083K","Reactance (Ohms) @ 83 KHz","Reactance (Ohms) @ 83 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""34.23 to 148.62"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC093K","BIXC093K","Reactance (Ohms) @ 93 KHz","Reactance (Ohms) @ 93 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""34.01 to 140.14"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC100K","BIXC100K","Reactance (Ohms) @ 100 KHz","Reactance (Ohms) @ 100 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""33.35 to 135.78"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC115K","BIXC115K","Reactance (Ohms) @ 115 KHz","Reactance (Ohms) @ 115 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""32.28 to 124.37"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC128K","BIXC128K","Reactance (Ohms) @ 128 KHz","Reactance (Ohms) @ 128 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""30.37 to 117.88"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC143K","BIXC143K","Reactance (Ohms) @ 143 KHz","Reactance (Ohms) @ 143 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""30.47 to 111.75"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC159K","BIXC159K","Reactance (Ohms) @ 159 KHz","Reactance (Ohms) @ 159 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""26.8 to 105.64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC177K","BIXC177K","Reactance (Ohms) @ 177 KHz","Reactance (Ohms) @ 177 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""14.04 to 99.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC200K","BIXC200K","Reactance (Ohms) @ 200 KHz","Reactance (Ohms) @ 200 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""10.1 to 97.93"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC220K","BIXC220K","Reactance (Ohms) @ 220 KHz","Reactance (Ohms) @ 220 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""15.9 to 96.67"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC245K","BIXC245K","Reactance (Ohms) @ 245 KHz","Reactance (Ohms) @ 245 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""16.45 to 129.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC273K","BIXC273K","Reactance (Ohms) @ 273 KHz","Reactance (Ohms) @ 273 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""23.17 to 106.03"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC304K","BIXC304K","Reactance (Ohms) @ 304 KHz","Reactance (Ohms) @ 304 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""23.23 to 123.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC339K","BIXC339K","Reactance (Ohms) @ 339 KHz","Reactance (Ohms) @ 339 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""14.31 to 105.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC378K","BIXC378K","Reactance (Ohms) @ 378 KHz","Reactance (Ohms) @ 378 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""8.94 to 109.64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC421K","BIXC421K","Reactance (Ohms) @ 421 KHz","Reactance (Ohms) @ 421 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""11.27 to 112.96"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC469K","BIXC469K","Reactance (Ohms) @ 469 KHz","Reactance (Ohms) @ 469 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""10.47 to 118.4"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC500K","BIXC500K","Reactance (Ohms) @ 500 KHz","Reactance (Ohms) @ 500 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""13.06 to 139.31"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC582K","BIXC582K","Reactance (Ohms) @ 582 KHz","Reactance (Ohms) @ 582 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""14.76 to 651.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC649K","BIXC649K","Reactance (Ohms) @ 649 KHz","Reactance (Ohms) @ 649 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""12.23 to 2514.87"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC723K","BIXC723K","Reactance (Ohms) @ 723 KHz","Reactance (Ohms) @ 723 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""9.99 to 2309.8"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC806K","BIXC806K","Reactance (Ohms) @ 806 KHz","Reactance (Ohms) @ 806 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""10.89 to 2027.61"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC898K","BIXC898K","Reactance (Ohms) @ 898 KHz","Reactance (Ohms) @ 898 KHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""8.65 to 2109.57"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
"BIX_C","BIXC1M","BIXC1M","Reactance (Ohms) @ 1 MHz","Reactance (Ohms) @ 1 MHz","Both males and females 8 YEARS - 49 YEARS",NA,"Code.or.Value=[""1.9 to 2427.35"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""4298"", ""1031""]; Cumulative=[""4298"", ""5329""]; Skip.to.Item=[""NA"", ""NA""]"
