"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"SSAFB_A","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 12 YEARS - 150 YEARS",NA,NA
"SSAFB_A","WTSPH30","WTSPH30","Phthalate Mec Weight Jack Knife Rep 30","Phthalate Mec Weight Jack Knife Rep 30","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 806226.47957"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH31","WTSPH31","Phthalate Mec Weight Jack Knife Rep 31","Phthalate Mec Weight Jack Knife Rep 31","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 788890.82816"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH32","WTSPH32","Phthalate Mec Weight Jack Knife Rep 32","Phthalate Mec Weight Jack Knife Rep 32","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 752108.96539"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH33","WTSPH33","Phthalate Mec Weight Jack Knife Rep 33","Phthalate Mec Weight Jack Knife Rep 33","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 778810.00493"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH34","WTSPH34","Phthalate Mec Weight Jack Knife Rep 34","Phthalate Mec Weight Jack Knife Rep 34","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 784645.21465"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH35","WTSPH35","Phthalate Mec Weight Jack Knife Rep 35","Phthalate Mec Weight Jack Knife Rep 35","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 742569.15561"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH36","WTSPH36","Phthalate Mec Weight Jack Knife Rep 36","Phthalate Mec Weight Jack Knife Rep 36","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 779052.74392"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH37","WTSPH37","Phthalate Mec Weight Jack Knife Rep 37","Phthalate Mec Weight Jack Knife Rep 37","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 785043.84416"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH38","WTSPH38","Phthalate Mec Weight Jack Knife Rep 38","Phthalate Mec Weight Jack Knife Rep 38","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 813853.13128"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH39","WTSPH39","Phthalate Mec Weight Jack Knife Rep 39","Phthalate Mec Weight Jack Knife Rep 39","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 787513.41575"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
"SSAFB_A","WTSPH40","WTSPH40","Phthalate Mec Weight Jack Knife Rep 40","Phthalate Mec Weight Jack Knife Rep 40","Both males and females 12 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 787966.00414"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""1894"", ""0""]; Cumulative=[""1894"", ""1894""]; Skip.to.Item=[""NA"", ""NA""]"
