Years,Lab Method Name,Documentation,Release Date,PDF Link
2017-2018,Hepatitis B Surface Antigen,[PDF - 870 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-B-SURFACE-ANTIGEN-508.pdf
2019-2020,Hepatitis B Surface Antigen,[PDF - 1.01 MB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-K-MET-HEPATITIS-B-SURFACE-ANTIGEN-508.pdf
2017-2018,Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 844 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-ANTIBODY-CONFIRMED-508.pdf
2019-2020,Hepatitis C Antibody / Hepatitis C Confirmatory Test (Anti-HCV),[PDF - 1.04 MB],June 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-K-MET-HEPATITIS-C-ANTIBODY-CONFIRMED-508.pdf
2017-2018,Hepatitis C Genotype,[PDF - 725 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-GENOTYPE-508.pdf
2019-2020,Hepatitis C Genotype,[PDF - 878 KB],June 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-K-MET-HEPATITIS-C-GENOTYPE-508.pdf
2017-2018,Hepatitis C RNA,[PDF - 812 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-J-MET-HEPATITIS-C-RNA-508.pdf
2019-2020,Hepatitis C virus RNA,[PDF - 992 KB],June 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPC-K-MET-HEPATITIS-C-RNA-508.pdf
2017-2018,Hepatitis D Antibody,[PDF - 647 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-J-MET-HEPATITIS-D-ANTIBODY-508.pdf
2019-2020,Hepatitis D Antibody,[PDF - 837 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPBD-K-MET-HEPATITIS-D-ANTIBODY-508.pdf
2017-2018,Hepatitis E IgG Antibody,[PDF - 945 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-J-MET-HEPATITIS-E-IgG-ANTIBODY-508.pdf
2019-2020,Hepatitis E IgG Antibody,[PDF - 935 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-K-MET-HEPATITIS-E-IgG-ANTIBODY-508.pdf
2017-2018,Hepatitis E IgM Antibody,[PDF - 950 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-J-MET-HEPATITIS-E-IgM-ANTIBODY-508.pdf
2019-2020,Hepatitis E IgM Antibody,[PDF - 918 KB],August 2022,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HEPE-K-MET-HEPATITIS-E-IgM-ANTIBODY-508.pdf
2017-2018,Herpes Simplex Virus,[PDF - 678 KB],May 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSVA-J-R-HSV-J-R-MET-508.pdf
2019-2020,Herpes Simplex Virus,[PDF - 677 KB],August 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HSV-K-R-HSVA-K-R-MET-508.pdf
2017-2018,HIV Combo,[PDF - 735 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-COMBO-EIA-508.pdf
2019-2020,HIV Combo,[PDF - 749 KB],July 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-K-R-MET-COMBO-EIA-508.pdf
2017-2018,HIV Multispot,[PDF - 797 KB],February 2020,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-J-MET-Geenius-508.pdf
2019-2020,HIV Multispot,[PDF - 788 KB],July 2021,https://wwwn.cdc.gov/nchs/data/nhanes/public/2017/labmethods/HIV-K-R-MET-Geenius-508.pdf
